Приоритет,Компания,Ниша,Город,Контакт,Источник,Почему хороший лид,Статус,Следующий шаг
C,НУР Металл,Металлопрокат опт,Алматы,+7 705 663-37-77,https://nurmetall.kz/,Опт через несколько мобильных менеджеров,Новый,
C,Модуль Сталь,Металлопрокат опт,Алматы+Астана,+7 771 737-60-29 / IG @modul_stal,https://modul.kz/,Много региональных номеров WhatsApp/Telegram,Новый,
C,ПМЕТ ГРУПП,Металлопрокат,Алматы,WhatsApp +7 701 616-00-05,https://prommetall.kz/,Приём заказов 24/7 через WhatsApp,Новый,
C,Профи-Дом,Металлопрокат опт,Алматы,WhatsApp +7 776 148-87-88,https://profi-dom.kz/,Склад 3000т, заявки через WhatsApp,Новый,
C,Трубное Решение,Металлопрокат/трубы опт,Алматы,+7 7273 122-826 / WhatsApp +7 771 700-6377,https://almaty.truboproduct.kz/,Огромный каталог, продажи через мессенджеры,Новый,
C,KMK Group,Металлопрокат опт,Алматы+Астана,WhatsApp +7 700 212-52-17,https://almaty.kmktradeco.kz/,Оптовые линии+WhatsApp по 6 городам,Новый,
C,NVO-21,Опт стройматериалы/инструмент,Алматы,WhatsApp +7 777 885-11-44,https://nvo21.kz/,Лидер опт-розницы, заявки через WhatsApp,Новый,
C,Азия Норд,Опт стройматериалы,Астана,+7 771 006-08-40,https://asianord.com/,Несколько продавцов, дилер брендов,Новый,
C,Твой Дом,Опт стройматериалы/кровля,Аксу/РК,+7 708 474-98-79 / IG @tvoydom.aksu,https://tvoydom.kz/,Официальный дилер, лиды из Instagram,Новый,
C,Alatex,Опт/розница стройматериалы,Алматы,+7 700 442-28-88,https://stroy-shop.kz/,Опт-розница, широкий SKU,Новый,
C,СтройМатериалы,Стройматериалы,Астана,WhatsApp +7 700 320 1620,https://stroy-materialy.kz/,Заявки/доставка через один WhatsApp,Новый,
C,Мастерки,Стройматериалы (ИМ),Астана,WhatsApp +7 702 987-72-11,https://masterki.kz/,Онлайн-продажи через WhatsApp,Новый,
C,Lemart,Отделочные материалы,Алматы,+7 707 837-00-20,https://lemaart.kz/,Контактное лицо-владелец, продажи в одни руки,Новый,
